=== EXTRACTED LYRICS FROM AUDIO (ENHANCED FOR LONG SENTENCES) ===
Audio file: context/Cinta di Tengah Scroll.mp3
Original segments: 26
Combined segments: 26
Total words: 223
============================================================

[22.62s-28.48s] (indonesian) Kita ketemu di dunia cepat, semua berlomba viral cepat
[28.48s-33.96s] (english) Tapi kamu lain gak kejauh view, gak cari likes cuma kasih new
[33.96s-38.76s] (english) Tentang laksa yang gak trending, tentang-tentang meski pending
[38.76s-44.40s] (english) Aku gak butuh filter haji, cukup pelukmu udah hancar di hati
[45.80s-54.22s] (mixed) Sayang, sama dunia makin langsung, aku tetap percaya yang asli itu kamu
[54.22s-59.56s] (english) Cinta di tengah strong, tetap butuh alat mirang hilang
[59.56s-65.00s] (indonesian) Kau bukan mati malam, tapi doa yang datang pelan
[65.00s-75.06s] (english) Biar dunia sibuk pencitraan, aku sibuk rawat perasaan
[75.06s-80.70s] (english) Cinta di tengah strong, kamu tetap go
[80.70s-86.18s] (english) Orang cari trending, aku cari tanah, kamu kaya lagu lawas, tapi menang
[86.18s-91.36s] (indonesian) Bukan sekadar hype dua minggu, tapi kisah panjang gak bisa skip begitu
[91.36s-96.56s] (indonesian) Kamu gak pernah janji surga, tapi sabar tiap drama kerja
[96.56s-101.50s] (english) Cinta ini bukan konten, ini healing yang konsisten
[101.50s-111.32s] (english) Cinta, alat hidupnya pedam, aku masih hafal suaramu dalam
[111.32s-120.30s] (english) Tak dapat dukrend di barang, asal tetap saling yaring didih
[120.30s-127.40s] (english) Cinta ini terkenas strong, tetap hidup pelurunya mohon
[127.40s-132.84s] (mixed) Kamu bukan ilusi, tapi napas tiap pagi
[132.84s-138.02s] (english) Biar orang pamer, kita berdoa, biar hati tertamu, punya alat
[139.34s-145.52s] (english) Cinta, cinta ini terkenas strong, kita ini terkenas strong
[145.52s-151.04s] (mixed) Cinta ini bukan akhirku, kamu bukan ikhmalam
[151.04s-156.80s] (english) Tapi doa yang gata berpelan, biar dunia sibuk pencipaan
[157.44s-161.84s] (english) Sibuk rawal perasaan, cinta ini terkenas strong
[163.84s-167.00s] (english) Cinta ini terkenas strong
[167.00s-173.62s] (indonesian) Kamu tujuan terakhirku, semua bisa hilang di timeline
[175.68s-182.72s] (english) Tapi kamu, gak pernah offline
[187.70s-189.76s] (english) Di hatiku

============================================================
=== WORD-LEVEL TIMESTAMPS ===
[22.62s-23.94s] Kita
[23.94s-24.58s] ketemu
[24.58s-24.82s] di
[24.82s-25.24s] dunia
[25.24s-25.96s] cepat,
[25.96s-26.68s] semua
[26.68s-27.50s] berlomba
[27.50s-27.82s] viral
[27.82s-28.48s] cepat
[28.48s-28.76s] Tapi
[28.76s-29.20s] kamu
[29.20s-29.70s] lain
[29.70s-30.16s] gak
[30.16s-30.86s] kejauh
[30.86s-31.14s] view,
[31.48s-31.56s] gak
[31.56s-32.08s] cari
[32.08s-32.36s] likes
[32.36s-32.76s] cuma
[32.76s-33.44s] kasih
[33.44s-33.96s] new
[33.96s-34.38s] Tentang
[34.38s-34.74s] laksa
[34.74s-35.02s] yang
[35.02s-35.36s] gak
[35.36s-36.02s] trending,
[36.74s-36.96s] tentang
[36.96s-37.32s] -tentang
[37.32s-37.98s] meski
[37.98s-38.76s] pending
[38.76s-39.22s] Aku
[39.22s-39.62s] gak
[39.62s-39.88s] butuh
[39.88s-40.46s] filter
[40.46s-41.28s] haji,
[41.48s-41.76s] cukup
[41.76s-42.64s] pelukmu
[42.64s-43.00s] udah
[43.00s-43.50s] hancar
[43.50s-43.96s] di
[43.96s-44.42s] hati
[45.80s-46.72s] Sayang,
[46.86s-47.10s] sama
[47.10s-47.78s] dunia
[47.78s-48.48s] makin
[48.48s-49.56s] langsung,
[49.64s-50.34s] aku
[50.34s-51.02s] tetap
[51.02s-52.00s] percaya
[52.00s-52.40s] yang
[52.40s-53.48s] asli
[53.48s-53.88s] itu
[53.88s-54.22s] kamu
[54.22s-54.88s] Cinta
[54.88s-55.60s] di
[55.60s-56.46s] tengah
[56.46s-57.10s] strong,
[57.28s-57.60s] tetap
[57.60s-58.00s] butuh
[58.00s-58.42s] alat
[58.42s-58.76s] mirang
[58.76s-59.56s] hilang
[59.56s-60.14s] Kau
[60.14s-61.06s] bukan
[61.06s-61.44s] mati
[61.44s-62.28s] malam,
[62.46s-62.76s] tapi
[62.76s-63.40s] doa
[63.40s-63.78s] yang
[63.78s-64.38s] datang
[64.38s-65.00s] pelan
[65.00s-65.38s] Biar
[65.38s-66.00s] dunia
[66.00s-66.60s] sibuk
[66.60s-69.40s] pencitraan,
[69.40s-70.48s] aku
[70.48s-71.24s] sibuk
[71.24s-71.86s] rawat
[71.86s-75.06s] perasaan
[75.06s-75.76s] Cinta
[75.76s-76.52s] di
[76.52s-77.60s] tengah
[77.60s-78.80s] strong,
[79.50s-79.66s] kamu
[79.66s-80.46s] tetap
[80.46s-80.70s] go
[80.70s-81.30s] Orang
[81.30s-81.64s] cari
[81.64s-82.12s] trending,
[82.44s-82.60s] aku
[82.60s-83.18s] cari
[83.18s-83.56s] tanah,
[83.78s-83.86s] kamu
[83.86s-84.28s] kaya
[84.28s-84.64s] lagu
[84.64s-85.20s] lawas,
[85.40s-85.52s] tapi
